rowid;inst_name_full;country.name;year;region;inst_type;mfiname;asofdate;inst_num;year_founded;permfi;mfiid;diamonds;assets;numborrs;numborrsind;numborrsgrp;numborrsshg;numloans;numloansind;numloansgrp;numloansshg;loanport;loanportind;loanportgrp;loanportshg;avgbalnc;avgbalncpinc;avgloanpbpinc;oss;frpa;fepa;oepa;cpb;cpl;par30;par90;writeoffratio;loanlossrate;maxdiamonds;regular_case;log_par30;log_par90;age;share_grp;log_avg_loan;log_ass_loan;log_numborrs;wdi_gdpgrowth;wdi_rural;wdi_laborforce;wdi_fdi;wdi_manufac;wdi_agricul;wdi_remittances;wdi_gini;wdi_inflation;wdi_privcredit;wdi_bankdens;wdi_atmdens;db_getcredit;db_enfcontract;db_registprop;wgi_cor;wgi_eff;wgi_reg;wgi_acc;wgi_law;wgi_sta;wdi_gdp;wdi_gdp_sq;swiid_gini;hdi;hdi_sq;efi_score;fgi_econ;fgi_ineq;cooperation;coop_srvy_years
1356;KAMURJ UCO CJSC;Armenia;2009;Eastern Europe and Central Asia;NGO;KAMURJ;2009-12-31;452;1998;1;100329;4;12317274,87;12493;0;12493;0;12493;0;12493;0;8584762,76;0,000;8584762,76000;0,00;687,17;0,2217;0,2217;1,9695;0,2636;0,0254;0,1007;101,3303;100,9204;0,014300;0,012900;0,0018;0,0000;4;TRUE;-4,24749574171627575;-4,3505279676145108;11;1,00000000000000e+00;6,53257565125427;3,61013878299303e-01;9,43292376643183;-13,54579168277649970;36,46000000000000;69,247;8,788694552480891;8,69324759497474;16,911795740519871;16,6491646925978998;28,0;3,4067668268379898;24,85492196935880;17,790206512852500;30,2390435157928010;68,8;58,5;93,2;-0,62145966291427601;-0,019941108301281901;0,273454070091248003;-0,876420259475708008;-0,46871069073677102;0,227863356471062012;8819,67745940627;77786710,48795904;36,0;0,741;0,549081;69,89791992;5,3;6,5;8,82636337247188;"2008; 2011; 2018; 2021"
1357;KAMURJ UCO CJSC;Armenia;2010;Eastern Europe and Central Asia;NGO;KAMURJ;2010-12-31;452;1998;1;100329;4;12487794,41;6143;0;0;0;6143;0;6143;0;9410675,76;0,000;9410675,76000;0,00;1531,93;0,4540;0,4540;1,9325;0,2729;0,0161;0,1167;155,3650;155,3650;0,000000;0,000000;NA;-0,0057;4;TRUE;-9,90348755253612723;-9,9034875525361272;12;1,00000000000000e+00;7,33428682078414;2,82906956089338e-01;8,72306850116393;2,82448188304338998;36,56000000000000;69,301;5,716037845460040;9,68462338925983;16,999148633691316;18,0268407541102000;30,0;8,1763613847395593;28,44516459979590;18,555525684515501;34,0472320118202987;68,8;58,5;93,2;-0,69503957033157304;-0,166394770145416010;0,268946558237076028;-0,847521543502807950;-0,48135831952094998;0,071855328977108002;9068,78765139006;82242909,46600482;35,9;0,746;0,556516;69,20000000;5,8;6,5;8,82636337247188;"2008; 2011; 2018; 2021"
1358;KAMURJ UCO CJSC;Armenia;2011;Eastern Europe and Central Asia;NGO;KAMURJ;2011-12-31;452;1998;1;100329;4;15715783,47;15028;0;0;0;19954;180;19774;0;12183503,58;458454,320;11725046,67000;0,00;610,58;0,1778;0,2361;2,0683;0,3148;0,0333;0,1121;149,3068;121,1241;0,006000;0,004400;0,0370;0,0370;4;TRUE;-5,11599580975408230;-5,4261507380579213;13;9,62370896270546e-01;6,41440852565548;2,54582652757845e-01;9,61767040669386;5,31901835183820015;36,66000000000000;69,313;6,440668367053620;10,56847933437687;20,325348252764677;17,7342235057517996;29,4;7,6500080785928999;35,36788787203500;19,979787187217099;43,5412640861814992;68,8;58,5;92,9;-0,66455942392349199;-0,108996279537678001;0,246940597891808000;-0,690779805183410978;-0,43770641088485701;-0,063868984580040006;9551,15813085673;91224621,64063060;35,7;0,750;0,562500;69,70000000;5,3;6,2;8,82636337247188;"2008; 2011; 2018; 2021"
1359;KAMURJ UCO CJSC;Armenia;2012;Eastern Europe and Central Asia;NGO;KAMURJ;2012-12-31;452;1998;1;100329;4;18637363,10;14269;0;0;0;14991;1703;13288;0;17703734,02;3575152,650;14128581,38000;0,00;1180,96;0,3192;0,3353;1,5783;0,2349;0,0330;0,1060;124,2554;104,1726;0,006700;0,003800;0,0058;0,0058;4;TRUE;-5,00564775258521699;-5,5727542122497971;14;7,98056576880271e-01;7,07408083686440;5,13927557456725e-02;9,56584463093058;7,73537083449029961;36,76000000000000;69,308;4,676727877655670;9,42475853227752;17,912681952639701;18,0330189489985990;29,6;2,5580200775790698;40,06005510466670;21,278886950528701;50,3973638301997013;75,0;50,7;92,9;-0,58800148963928200;-0,026902403682470301;0,334273397922515980;-0,570491433143615945;-0,41828197240829501;0,154794976115226995;10289,97563126710;105883598,49207075;36,1;0,755;0,570025;68,80000000;5,6;5,9;8,82636337247188;"2008; 2011; 2018; 2021"
1360;KAMURJ UCO CJSC;Armenia;2013;Eastern Europe and Central Asia;NGO;KAMURJ;2013-12-31;452;1998;1;100329;3;26288555,08;15217;0;0;0;16622;5351;11271;0;25756141,88;13051135,980;12705005,90000;0,00;1549,52;0,4078;0,4454;1,6363;0,2599;0,0329;0,1052;160,2350;149,4540;0,012200;0,006100;0,0030;0,0019;4;TRUE;-4,40631932724292597;-5,0994665078028714;15;4,93280630274273e-01;7,34570127813142;2,04605581296678e-02;9,63016850292011;3,76412964842652009;36,83600000000000;69,494;3,111931481257960;9,68257531952384;18,434762883496798;19,7113750362955997;30,6;5,7896677854465404;42,38024048692100;21,737458753601601;53,9140528374902033;75,0;50,7;93,1;-0,53045022487640403;0,085326582193374606;0,235182687640190013;-0,588030815124512052;-0,34097123146057101;0,110385142266750003;10677,30365481950;114004813,33722185;36,5;0,760;0,577600;69,40000000;5,9;5,6;8,82636337247188;"2008; 2011; 2018; 2021"
1361;KAMURJ UCO CJSC;Armenia;2014;Eastern Europe and Central Asia;NGO;KAMURJ;2014-12-31;452;1998;1;100329;2;33369411,51;16452;0;0;0;18130;7867;10263;0;29591895,39;19681878,670;9910016,72000;0,00;1632,21;0,4295;0,4733;1,4354;0,2370;0,0392;0,0967;182,1943;166,0311;0,031900;0,020000;0,0079;0,0056;4;TRUE;-3,44514926919133835;-3,9120230054281460;16;3,34889556393501e-01;7,39768777366223;1,20139137859754e-01;9,70820232935031;4,01064593319273044;36,88800000000000;69,717;3,502114247195270;9,66640553649803;18,072036347066199;17,9044403119023983;31,5;2,9813086893367302;48,91717310638410;22,709996769181600;59,4316330544430969;75,0;52,6;93,1;-0,56515538692474399;-0,251768827438353993;0,158519908785820007;-0,562072694301605003;-0,41779625415802002;-0,297135800123214999;11105,53249962610;123332852,10025154;36,8;0,764;0,583696;68,90000000;5,8;5,3;8,82636337247188;"2008; 2011; 2018; 2021"
1362;KBPR Arta Kencana;Indonesia;2008;East Asia and the Pacific;Rural Bank;BPR AK;2008-12-31;105;1991;1;100767;4;3439654,39;6170;0;0;0;6170;0;0;0;2611785,21;2528927,570;82857,65000;0,00;423,30;0,2106;0,2106;1,4601;0,2887;0,1040;0,0926;52,1148;52,1148;0,106800;0,061000;0,0000;0,0000;4;TRUE;-2,23679735245604272;-2,7968814148088259;17;3,17245230131310e-02;6,04809041709166;2,75337022287979e-01;8,72745411689943;4,64217359865803036;51,66500000000000;68,610;1,826329024039980;27,81427298543030;14,481740260776100;1,3315993002781199;36,1;10,2266645473147992;26,55347982712511;6,578938902504070;13,1147843187471995;NA;NA;NA;-0,63908606767654397;-0,263586372137069980;-0,346988946199417003;-0,011261515319347401;-0,67378258705139205;-1,056791543960569957;7578,20522100623;57429194,37168609;44,2;0,646;0,417316;53,17298994;6,3;8,0;8,86507735253491;"2001; 2006; 2018"
1363;KBPR Arta Kencana;Indonesia;2009;East Asia and the Pacific;Rural Bank;BPR AK;2009-12-31;105;1991;1;100767;4;4813708,92;6477;6406;71;0;6477;6406;71;0;3673459,55;3553724,840;119734,71000;0,00;567,15;0,2550;0,2550;1,4073;0,2422;0,0924;0,0765;49,8979;49,8979;0,198000;0,031900;0,0008;0,0008;4;TRUE;-1,61948824828760207;-3,4451492691913383;18;3,25945361233119e-02;6,34063171350180;2,70333997502824e-01;8,77601271918292;3,30690394017261990;50,86600000000000;68,273;0,903919419654062;26,35547452710640;15,290148146171999;1,2589247567833000;36,0;4,3864155501472899;27,65871048784410;7,639044387970850;14,1155486051530996;NA;NA;NA;-0,88964062929153398;-0,331201553344727007;-0,314694702625274991;-0,000997999450191855;-0,61193531751632702;-0,751153647899628019;7828,80918805405;61290253,30295951;44,9;0,657;0,431649;53,41837556;6,9;8,1;8,86507735253491;"2001; 2006; 2018"
1364;KBPR Arta Kencana;Indonesia;2010;East Asia and the Pacific;Rural Bank;BPR AK;2010-12-31;105;1991;1;100767;4;6009794,11;6600;0;0;0;6600;6531;69;0;4471318,78;4348150,780;123168,00000;0,00;677,47;0,2551;0,2551;1,3095;0,2230;0,0946;0,0738;61,0691;61,0691;0,182000;0,036600;0,0000;0,0000;4;TRUE;-1,70374859190534167;-3,3077070385748164;19;2,75462354755211e-02;6,51836902414549;2,95707095861077e-01;8,79482492801452;4,90272857952441043;50,08600000000000;68,875;2,025179138341770;22,03862859244380;13,929212707136999;0,9159190252197850;37,2;5,1342040076793003;27,25304113493950;8,110133274257590;13,0398904797935007;NA;NA;NA;-0,80353450775146495;-0,267384022474288996;-0,380860596895218007;-0,037748463451862301;-0,65604490041732799;-0,853916168212890958;8212,63445355321;67447364,66768923;45,6;0,664;0,440896;55,50000000;6,7;7,9;8,86507735253491;"2001; 2006; 2018"
1365;KBPR Arta Kencana;Indonesia;2011;East Asia and the Pacific;Rural Bank;BPR AK;2011-12-31;105;1991;1;100767;4;7391132,41;7841;0;0;0;7841;7770;71;0;5739430,98;5585982,120;153448,86000;0,00;731,98;0,2510;0,2510;1,3729;0,2208;0,0897;0,0703;65,2106;65,2106;0,179400;0,027100;0,0000;0,0000;4;TRUE;-1,71813732935744112;-3,6082215510964817;20;2,67359012652506e-02;6,59574897474670;2,52920885660721e-01;8,96712165623092;4,84490570055714986;49,40500000000000;69,410;2,302984285150620;21,76085450384760;13,512287074394600;0,7753874630111740;40,5;5,3560477898215000;30,08219935776620;14,706735921926199;16,4481878856690003;NA;NA;NA;-0,75587069988250699;-0,322761535644530972;-0,310188621282578014;-0,008531013503670691;-0,59964394569396995;-0,770114183425902987;8610,52884835933;74141207,04842825;46,3;0,671;0,450241;56,00000000;6,4;7,5;8,86507735253491;"2001; 2006; 2018"
1366;KBPR Arta Nawa;Indonesia;2008;East Asia and the Pacific;Rural Bank;BPR AN;2008-12-31;106;1990;1;100816;4;1413538,86;2679;2679;0;0;2679;2679;0;0;1022450,56;1022450,560;0,00000;0,00;381,65;0,1899;0,1899;1,1941;0,2806;0,0793;0,1451;79,1931;79,1931;0,231800;0,024100;0,0117;0,0117;4;TRUE;-1,46188034807648570;-3,7255434384855279;18;0,00000000000000e+00;5,94451394410725;3,23894134127061e-01;7,89319886954461;4,64217359865803036;51,66500000000000;68,610;1,826329024039980;27,81427298543030;14,481740260776100;1,3315993002781199;36,1;10,2266645473147992;26,55347982712511;6,578938902504070;13,1147843187471995;NA;NA;NA;-0,63908606767654397;-0,263586372137069980;-0,346988946199417003;-0,011261515319347401;-0,67378258705139205;-1,056791543960569957;7578,20522100623;57429194,37168609;44,2;0,646;0,417316;53,17298994;6,3;8,0;8,86507735253491;"2001; 2006; 2018"
1367;KBPR Arta Nawa;Indonesia;2009;East Asia and the Pacific;Rural Bank;BPR AN;2009-12-31;106;1990;1;100816;4;1945580,47;2980;2980;0;0;2980;2980;0;0;1344519,00;1344519,000;0,00000;0,00;451,18;0,2029;0,2029;1,3514;0,2642;0,0727;0,1201;71,2940;71,2940;0,204200;0,016700;0,0060;0,0060;4;TRUE;-1,58865537325157180;-4,0923465595594273;19;0,00000000000000e+00;6,11186830673921;3,69524046430406e-01;7,99967857949945;3,30690394017261990;50,86600000000000;68,273;0,903919419654062;26,35547452710640;15,290148146171999;1,2589247567833000;36,0;4,3864155501472899;27,65871048784410;7,639044387970850;14,1155486051530996;NA;NA;NA;-0,88964062929153398;-0,331201553344727007;-0,314694702625274991;-0,000997999450191855;-0,61193531751632702;-0,751153647899628019;7828,80918805405;61290253,30295951;44,9;0,657;0,431649;53,41837556;6,9;8,1;8,86507735253491;"2001; 2006; 2018"
1368;KBPR Arta Nawa;Indonesia;2010;East Asia and the Pacific;Rural Bank;BPR AN;2010-12-31;106;1990;1;100816;4;2562318,00;3387;0;0;0;3387;3387;0;0;1735656,33;1735656,330;0,00000;0,00;512,45;0,1929;0,1929;1,3097;0,2426;0,0650;0,1168;82,7163;82,7163;0,187900;0,019400;0,0002;0,0002;4;TRUE;-1,67184537256271737;-3,9424822129128545;20;0,00000000000000e+00;6,23919633519683;3,89526687501606e-01;8,12769985281777;4,90272857952441043;50,08600000000000;68,875;2,025179138341770;22,03862859244380;13,929212707136999;0,9159190252197850;37,2;5,1342040076793003;27,25304113493950;8,110133274257590;13,0398904797935007;NA;NA;NA;-0,80353450775146495;-0,267384022474288996;-0,380860596895218007;-0,037748463451862301;-0,65604490041732799;-0,853916168212890958;8212,63445355321;67447364,66768923;45,6;0,664;0,440896;55,50000000;6,7;7,9;8,86507735253491;"2001; 2006; 2018"
1369;KBPR Arta Nawa;Indonesia;2011;East Asia and the Pacific;Rural Bank;BPR AN;2011-12-31;106;1990;1;100816;4;2903069,46;3596;0;0;0;3596;3596;0;0;1951898,79;1951898,790;0,00000;0,00;542,80;0,1861;0,1861;1,3929;0,2480;0,0636;0,1116;87,3342;87,3342;0,218300;0,019800;0,0000;0,0000;4;TRUE;-1,52188501542623889;-3,9220733412816471;21;0,00000000000000e+00;6,29673579963419;3,96965974466916e-01;8,18757739559151;4,84490570055714986;49,40500000000000;69,410;2,302984285150620;21,76085450384760;13,512287074394600;0,7753874630111740;40,5;5,3560477898215000;30,08219935776620;14,706735921926199;16,4481878856690003;NA;NA;NA;-0,75587069988250699;-0,322761535644530972;-0,310188621282578014;-0,008531013503670691;-0,59964394569396995;-0,770114183425902987;8610,52884835933;74141207,04842825;46,3;0,671;0,450241;56,00000000;6,4;7,5;8,86507735253491;"2001; 2006; 2018"
1370;KEP Trust;Kosovo;2008;Eastern Europe and Central Asia;NBFI;KEP;2008-12-31;454;1999;1;100523;4;60939691,67;17029;16545;229;255;17029;16545;229;255;55664138,89;55452737,500;339470,83000;431419,44;3268,78;2,0869;2,0869;1,1525;0,2148;0,0577;0,1221;425,0579;425,0579;0,021000;0,015200;0,0000;0,0000;4;TRUE;-3,86323284125871380;-4,1864598511299063;9;3,79780221549386e-03;8,09217361949361;9,05486004220348e-02;9,74267305202660;5,40000000000000036;NA;46,000;10,401133654454700;14,04175543921170;11,261140677617799;20,1962198799698989;NA;9,3504176465817697;36,08842579387880;17,798044275353501;13,7348251642599006;NA;NA;NA;-0,64877408742904696;-0,230388626456260986;0,032282240688800798;-0,313796252012252974;-0,62731027603149403;1,012082815170290084;7032,45229722004;49455385,31267542;28,7;NA;NA;NA;NA;NA;9,58191642587657;2008
1371;KEP Trust;Kosovo;2009;Eastern Europe and Central Asia;NBFI;KEP;2009-12-31;454;1999;1;100523;4;69938935,71;19336;19162;74;100;19337;19163;74;100;59664128,57;59341077,140;181874,29000;141177,14;3085,49;0,9523;0,9524;1,1387;0,1983;0,0528;0,1089;391,9568;391,9460;0,055400;0,035300;0,0080;0,0080;4;TRUE;-2,89317568522889879;-3,3438723150428862;10;5,41450009817845e-03;8,03446589824860;1,58891535998367e-01;9,86972392238332;4,19465198491015023;NA;47,700;8,037407835788560;14,87549581893180;8,276135796153429;21,0553081466173992;31,8;-2,4102640166122802;38,70989649186900;17,655667923568600;19,2452457430538004;NA;NA;NA;-0,58537656068801902;-0,409440189599991011;0,061585705727338798;-0,116848014295100999;-0,59388971328735396;0,430509388446807972;7327,43919709325;53691365,18709858;28,6;NA;NA;NA;NA;NA;9,58191642587657;2008
1372;KEP Trust;Kosovo;2012;Eastern Europe and Central Asia;NBFI;KEP;2012-12-31;454;1999;1;100523;4;31257602,63;14960;0;0;0;14960;14958;2;0;31167421,05;31152143,420;15277,63000;0,00;2083,38;0,5526;0,5526;0,8530;0,1960;0,0475;0,1442;328,8138;328,8190;0,127100;0,110900;0,0680;0,0596;4;TRUE;-2,06278110078672894;-2,1991263846258162;13;4,90179472195984e-04;7,64174865858224;2,88927860718394e-03;9,61313525152847;0,80567579155990598;NA;36,900;4,755029399468150;13,25279731781010;7,445457566109420;15,3414414866673994;29,0;2,4767378215653899;37,89658120424220;17,154500068064600;26,7278178479845998;81,3;46,1;76,2;-0,65335714817047097;-0,324519962072371992;-0,040483929216861697;-0,223774790763855008;-0,52674198150634799;-1,038502335548399991;8105,37493161373;65697102,78203228;28,1;NA;NA;NA;NA;NA;9,58191642587657;2008
1373;KEP Trust;Kosovo;2013;Eastern Europe and Central Asia;NBFI;KEP;2013-12-31;454;1999;1;100523;4;30221649,40;13364;0;0;0;13364;13363;1;0;28193327,48;28178530,140;14797,26000;0,00;2109,65;0,5354;0,5354;1,0557;0,2405;0,0393;0,1939;406,0588;407,6083;0,101500;0,090300;NA;-0,0157;4;TRUE;-2,28769648050029506;-2,4046178185591973;14;5,24852556353816e-04;7,65427609024974;6,94731993415660e-02;9,50031980347665;4,70293562396170994;NA;40,500;5,515247383343450;13,51216997822270;8,431611261104580;15,7131594924028999;26,3;1,7673242835488900;36,69831350027960;16,390584324331201;27,2809725666719984;81,3;46,1;76,3;-0,64951938390731800;-0,355947911739348977;-0,040910311043262503;-0,250444710254669023;-0,54266184568405196;-0,966146647930145042;8486,56549672826;72021793,93025859;27,9;NA;NA;NA;NA;NA;9,58191642587657;2008
1374;KSK RPK;Bulgaria;2008;Eastern Europe and Central Asia;Credit Union/Cooperative;KSK RPK;2008-12-31;464;1992;1;100425;4;4857142,86;256;256;0;0;268;268;0;0;3559285,71;3559285,710;0,00000;0,00;13280,92;2,4191;2,5325;1,2756;0,1378;0,0679;0,0411;772,6076;754,8465;0,028900;0,017900;0,0000;-0,0121;4;TRUE;-3,54391368386375083;-4,0229545661354278;16;0,00000000000000e+00;9,49408345892738;3,10890494675123e-01;5,54517744447956;6,87712782797208977;28,37800000000000;66,980;18,899523519961299;12,28890028162664;5,869626922018490;3,5216627130886700;33,6;12,3487195994021004;66,92029487701009;92,338380476358793;80,0081009936202037;81,3;63,2;71,3;-0,27478733658790599;-0,180583730340003995;0,734121799468994030;0,577976346015929954;-0,12108802050352099;0,369860708713530995;18264,77844218570;333602131,54213148;33,4;0,782;0,611524;63,74014902;4,3;6,0;9,13841537972606;"2006; 2008; 2017"
1375;KSK RPK;Bulgaria;2009;Eastern Europe and Central Asia;Credit Union/Cooperative;KSK RPK;2009-12-31;464;1992;1;100425;4;5241911,76;245;245;0;0;245;245;0;0;3820588,24;3820588,240;0,00000;0,00;15594,24;2,6358;2,6358;1,1852;0,1159;0,0519;0,0383;772,7402;754,6644;0,012500;0,004200;0,0000;0,0000;4;TRUE;-4,38202663467388120;-5,4726707536928147;17;0,00000000000000e+00;9,65465674771166;3,16281871197680e-01;5,50125821054473;-2,72241540783777003;28,03700000000000;66,271;7,490199923418790;12,75109301933661;4,235785659661230;3,0597604225286501;33,8;2,7532022391481599;68,95856758265219;92,261515000487194;87,8237764720413026;93,8;64,3;71,2;-0,22926756739616400;0,068754434585571303;0,694785177707672008;0,560471177101135032;-0,04031235352158550;0,353678971529007014;17767,53529966820;315685310,62495559;33,5;0,785;0,616225;64,63055523;5,0;6,3;9,13841537972606;"2006; 2008; 2017"
1376;KSK RPK;Bulgaria;2010;Eastern Europe and Central Asia;Credit Union/Cooperative;KSK RPK;2010-12-31;464;1992;1;100425;3;5866438,36;243;0;0;0;243;243;0;0;3639726,03;3639726,030;0,00000;0,00;14978,30;2,5056;2,5056;1,0260;0,0960;0,0526;0,0349;794,7497;794,7497;0,052900;0,027900;0,0000;0,0000;4;TRUE;-2,93935194011788337;-3,5791285901548169;18;0,00000000000000e+00;9,61435752695619;4,77339284377193e-01;5,49306144334055;2,21243106343318985;27,69800000000000;67,086;3,636197821681890;11,71358529275270;4,033035106043690;2,6299443477660200;35,7;2,4389906050411700;68,21070317125360;91,895774341868204;90,5514918799867985;93,8;64,3;71,4;-0,23702354729175601;-0,069736719131469699;0,680432558059692050;0,531482577323914018;-0,09706135839223860;0,360091060400008989;18160,62976984450;329808473,63736236;33,9;0,790;0,624100;62,30000000;5,3;6,1;9,13841537972606;"2006; 2008; 2017"
1377;Kabalikat para sa Maunlad na Buhay, Inc.;Philippines;2008;East Asia and the Pacific;NGO;KMBI;2008-12-31;457;1986;1;100668;4;13109683,87;123913;0;123913;0;123913;0;123913;0;8138078,77;0,000;8138078,77000;0,00;65,68;0,0347;0,0347;1,0834;0,4956;0,0459;0,3957;46,1065;46,1065;0,025200;0,019400;0,0100;0,0100;4;TRUE;-3,68091128446475935;-3,9424822129128545;22;1,00000000000000e+00;4,18472970134088;4,76797055016137e-01;11,72733498543843;2,41093432953198006;54,54500000000000;62,715;0,737800788965931;23,26866767775520;14,516074757313399;10,3789215725364006;NA;8,2604470359572595;27,87606106091570;7,567193169970900;13,1723953966144993;25,0;50,6;62,9;-0,77809512615203902;0,062923483550548595;-0,079146675765514402;-0,138752609491347989;-0,55022186040878296;-1,779236316680909979;5596,91304505301;31325435,63388456;41,9;0,668;0,446224;55,96329499;5,9;7,6;7,01363085228845;"2001; 2012; 2019"
1378;Kabalikat para sa Maunlad na Buhay, Inc.;Philippines;2009;East Asia and the Pacific;NGO;KMBI;2009-12-31;457;1986;1;100668;4;15386827,89;186170;0;186170;0;186170;0;186170;0;11269717,02;0,000;11269717,02000;0,00;60,53;0,0352;0,0352;1,0545;0,5268;0,0095;0,4637;42,6155;42,6155;0,058600;0,041700;0,0007;0,0007;4;TRUE;-2,83702058239917010;-3,1772541501773812;23;1,00000000000000e+00;4,10321426279547;3,11392592999286e-01;12,13441551376594;-0,40130043344842597;54,62900000000000;63,141;1,173248507746800;21,73861439141970;14,540213315315199;11,3422590430749004;46,3;4,2190305206462702;27,89666841531380;7,486176906840230;14,0084257252333000;25,0;50,6;62,7;-0,78673923015594505;0,034502875059843098;-0,112535633146763001;-0,027749272063374499;-0,57499730587005604;-1,728763222694400081;5574,45260874348;31074521,88712699;41,9;0,667;0,444889;56,78415551;6,0;7,6;7,01363085228845;"2001; 2012; 2019"
1379;Kabalikat para sa Maunlad na Buhay, Inc.;Philippines;2010;East Asia and the Pacific;NGO;KMBI;2010-12-31;457;1986;1;100668;4;19858816,78;235482;0;0;0;235482;0;235482;0;14724278,84;0,000;14724278,84000;0,00;62,53;0,0304;0,0304;1,0810;0,6149;0,0210;0,5257;43,9401;43,9401;0,074200;0,046000;0,0160;0,0160;4;TRUE;-2,60099112880880234;-3,0791138824930422;24;1,00000000000000e+00;4,13561855469395;2,99150325669759e-01;12,36938975639643;5,41803030350513026;54,66800000000000;63,128;0,513698459477041;21,91920171638270;13,748865052421699;10,3454266675731006;NA;3,7898363479758999;28,33247881077780;7,546813540566690;15,1065248611642993;25,0;50,6;62,7;-0,78112399578094505;0,077965676784515395;-0,215251356363297008;-0,039045549929141998;-0,55379360914230302;-1,650759577751159890;5876,47814033973;34532995,33389069;41,7;0,674;0,454276;56,30000000;5,8;7,4;7,01363085228845;"2001; 2012; 2019"
1380;Kabalikat para sa Maunlad na Buhay, Inc.;Philippines;2011;East Asia and the Pacific;NGO;KMBI;2011-12-31;457;1986;1;100668;4;21340263,54;244557;0;0;0;244557;0;244557;0;14850756,99;0,000;14850756,99000;0,00;60,73;0,0278;0,0278;0,9945;0,5621;0,0112;0,5243;45,0830;45,0830;0,118500;0,090800;0,0000;0,0000;4;TRUE;-2,13284231840695115;-2,3990959933748894;25;1,00000000000000e+00;4,10635770811022;3,62544755668544e-01;12,40720368956112;2,02421992128356010;54,47800000000000;64,050;0,856962270930210;21,70432695257400;14,095735151082300;9,8428520870007397;NA;4,7184170471841602;30,49763975065500;7,657381176268340;16,8046172447693003;25,0;50,6;62,7;-0,68503481149673495;0,198170110583304998;-0,160969600081444009;-0,019902653992176101;-0,50638926029205300;-1,392181634902950105;5995,43098152636;35945192,65424613;41,6;0,679;0,461041;56,20000000;5,6;7,1;7,01363085228845;"2001; 2012; 2019"
1381;Kafolatli Sarmoya;Uzbekistan;2014;Eastern Europe and Central Asia;NBFI;Kafolatli Sarmoya;2014-12-31;467;2007;1;114828;1;483744,47;376;0;0;0;376;376;0;0;459095,68;459095,270;0,00000;0,00;1221,00;0,6495;0,6495;3,3908;NA;NA;NA;NA;NA;0,000000;0,000000;NA;NA;4;TRUE;-9,90348755253612723;-9,9034875525361272;7;0,00000000000000e+00;7,10742477708849;5,22981712578578e-02;5,92958914338989;5,08610431642478034;49,15000000000000;60,703;1,000274787263330;12,68835749759870;28,696328947695498;8,4299277710346807;NA;9,2830935616269201;10,02973160845890;31,283651476801602;8,4844711039331404;43,8;68,6;56,5;-1,19444429874420011;-0,624362528324126975;-1,729825615882869982;-1,913254141807559927;-1,13419890403748003;-0,273108631372452004;6075,19222412855;36907960,56011200;NA;0,698;0,487204;46,50000000;7,1;7,3;8,83697305561667;2011
1382;Kasanyangan-Mindanao Foundation, Inc.;Philippines;2008;East Asia and the Pacific;NGO;KCCDFI;2008-12-31;453;2002;1;101523;4;2463744,17;23493;0;0;0;23493;23493;0;0;2413617,78;2413617,780;0,00000;0,00;102,74;0,0544;0,0544;1,2016;0,6754;0,0526;0,4425;47,7223;47,7223;0,062600;0,023300;0,0844;0,0825;4;TRUE;-2,77099000087608438;-3,7593019184104821;6;0,00000000000000e+00;4,63217954997014;2,05554377455679e-02;10,06445778341905;2,41093432953198006;54,54500000000000;62,715;0,737800788965931;23,26866767775520;14,516074757313399;10,3789215725364006;NA;8,2604470359572595;27,87606106091570;7,567193169970900;13,1723953966144993;25,0;50,6;62,9;-0,77809512615203902;0,062923483550548595;-0,079146675765514402;-0,138752609491347989;-0,55022186040878296;-1,779236316680909979;5596,91304505301;31325435,63388456;41,9;0,668;0,446224;55,96329499;5,9;7,6;7,01363085228845;"2001; 2012; 2019"
1383;Kasanyangan-Mindanao Foundation, Inc.;Philippines;2009;East Asia and the Pacific;NGO;KCCDFI;2009-12-31;453;2002;1;101523;4;3230924,88;18750;18750;0;0;18867;18867;0;0;2286411,15;2286411,150;0,00000;0,00;121,19;0,0677;0,0681;1,0467;0,5233;0,0371;0,4152;55,9682;55,8136;0,014900;0,004300;0,0805;0,0636;4;TRUE;-4,20639406603072352;-5,4491402562826199;7;0,00000000000000e+00;4,79732431959624;3,45785031960631e-01;9,83894903139856;-0,40130043344842597;54,62900000000000;63,141;1,173248507746800;21,73861439141970;14,540213315315199;11,3422590430749004;46,3;4,2190305206462702;27,89666841531380;7,486176906840230;14,0084257252333000;25,0;50,6;62,7;-0,78673923015594505;0,034502875059843098;-0,112535633146763001;-0,027749272063374499;-0,57499730587005604;-1,728763222694400081;5574,45260874348;31074521,88712699;41,9;0,667;0,444889;56,78415551;6,0;7,6;7,01363085228845;"2001; 2012; 2019"
